date,open,close,high,low,volume
2022-3-2,0.432450553,0.456962911,0.438267394,0.461596103,0.027426053
2022-3-3,0.442507543,0.479356193,0.472373806,0.501686025,0.071254119
2022-3-4,0.448876969,0.505248425,0.509890859,0.50430873,0.130863122
2022-3-7,0.486423064,0.437368789,0.47851296,0.475458973,0.119913736
2022-3-8,0.431109621,0.397130861,0.424965894,0.427875609,0.062339713
2022-3-9,0.384847469,0.378236529,0.382332879,0.373548145,0.079124301
2022-3-10,0.395239692,0.403079076,0.400409277,0.430498314,0.036896559
2022-3-11,0.365068723,0.382785164,0.369031378,0.379917572,0.060043406
2022-3-14,0.364398257,0.348495451,0.376193724,0.384413638,0.041294737
2022-3-15,0.326852162,0.228831351,0.32946794,0.257399775,0.163528685
2022-3-16,0.24472008,0.268019594,0.261937244,0.239040839,0.094831786
2022-3-17,0.281595709,0.317004899,0.324351978,0.319595354,0.091631172
2022-3-18,0.308749581,0.313855843,0.3079809,0.327838142,0.032251588
2022-3-21,0.310425746,0.32890133,0.31377899,0.344323717,0.029463503
2022-3-22,0.31981227,0.304408677,0.3079809,0.334207568,0.022337622
2022-3-23,0.289306068,0.3310007,0.329126876,0.327463469,0.049797634
2022-3-24,0.31645994,0.334849545,0.326398363,0.350318471,0.03716659
2022-3-25,0.325846463,0.299510147,0.315484311,0.332334208,0.029560445
2022-3-28,0.284612806,0.290412876,0.284106412,0.304233795,0.008960213
2022-3-29,0.286624204,0.300209937,0.291609823,0.319970026,0.01174119
2022-3-30,0.294669796,0.3310007,0.312414734,0.322967404,0.040823374
2022-3-31,0.314783775,0.321203639,0.317530696,0.352566504,0.023311111
2022-4-1,0.305732484,0.304758572,0.301159618,0.327838142,0.021770816
2022-4-6,0.291317466,0.314205738,0.322987722,0.331959535,0.030116225
2022-4-7,0.295005028,0.27326802,0.295361528,0.300487074,0.032463715
2022-4-8,0.271538719,0.264170749,0.269781719,0.29112027,0.029081274
2022-4-11,0.247737177,0.211336599,0.242837653,0.234170101,0.040281403
2022-4-12,0.201810258,0.287263821,0.274556617,0.233046085,0.084912843
2022-4-13,0.279584311,0.295311407,0.295702592,0.291869614,0.072402728
2022-4-14,0.297351659,0.347445766,0.343110505,0.334207568,0.110441241
2022-4-15,0.337244385,0.352694192,0.340040928,0.373548145,0.053319782
2022-4-18,0.32886356,0.366340098,0.352319236,0.370550768,0.043926346
2022-4-19,0.350653704,0.355493352,0.351978172,0.389284376,0.031642181
2022-4-20,0.344954744,0.332750175,0.340381992,0.365305358,0.04329133
2022-4-21,0.323164599,0.308607418,0.360504775,0.336830274,0.059080841
2022-4-22,0.29969829,0.264520644,0.287517053,0.285125515,0.059334083
2022-4-25,0.250754274,0.198740378,0.23840382,0.216935182,0.063442195
2022-4-26,0.207509219,0.203289013,0.213506139,0.165230423,0.11241934
2022-4-27,0.17733825,0.180895731,0.182810368,0.14387411,0.120954574
2022-4-28,0.230975528,0.283764871,0.263642565,0.255526414,0.101495849
2022-4-29,0.308749581,0.344996501,0.344474761,0.339078306,0.143082764
2022-5-5,0.324840764,0.336249125,0.330150068,0.35706257,0.070812954
2022-5-6,0.298357358,0.336249125,0.334583902,0.333083552,0.070549617
2022-5-9,0.315789474,0.301609517,0.325716235,0.321843387,0.047806309
2022-5-10,0.284612806,0.313505948,0.300818554,0.317347321,0.042041652
2022-5-11,0.29969829,0.319454164,0.335948158,0.342450356,0.089020548
2022-5-12,0.291987932,0.312456263,0.31787176,0.333458224,0.045365645
2022-5-13,0.32551123,0.323303009,0.332878581,0.338328962,0.037896064
2022-5-16,0.319141804,0.327501749,0.332537517,0.326714125,0.079419011
2022-5-17,0.311431445,0.353743877,0.351978172,0.35181716,0.122325017
2022-5-18,0.342943346,0.342547236,0.342087312,0.378793556,0.039276983
2022-5-19,0.313442843,0.366689993,0.347885402,0.354065193,0.060600164
2022-5-20,0.355346966,0.446116165,0.434174625,0.404271263,0.158934279
2022-5-23,0.431780087,0.430370889,0.428717599,0.467216186,0.065061121
2022-5-24,0.419041234,0.401329601,0.418826739,0.442113151,0.065300697
2022-5-25,0.398592021,0.425822253,0.417803547,0.442113151,0.044491509
2022-5-26,0.415353671,0.433170049,0.42053206,0.442862495,0.04155039
2022-5-27,0.42541066,0.431420574,0.438949523,0.460472087,0.048210508
2022-5-30,0.419041234,0.470958712,0.454979536,0.46796553,0.084808046
2022-5-31,0.447200805,0.508397481,0.495907231,0.506182091,0.106788287
2022-6-1,0.482400268,0.49720084,0.49420191,0.523042338,0.050388446
2022-6-2,0.468990949,0.486703989,0.471691678,0.510303484,0.039036138
2022-6-6,0.463291988,0.500349895,0.479877217,0.509179468,0.050914075
2022-6-7,0.480053637,0.49930021,0.504092769,0.539153241,0.050075052
2022-6-8,0.480724103,0.547235829,0.544338336,0.539527913,0.153050676
2022-6-9,0.526315789,0.581175647,0.565484311,0.595728737,0.128978387
2022-6-10,0.542742206,0.590622813,0.572646658,0.609591607,0.066329476
2022-6-13,0.549446866,0.624912526,0.611869031,0.621581117,0.087295718
2022-6-14,0.586657727,0.598670399,0.590381992,0.616710378,0.072126124
2022-6-15,0.573248408,0.562981106,0.585948158,0.61521169,0.081472783
2022-6-16,0.551793496,0.595871239,0.595839018,0.621206444,0.08384104
2022-6-17,0.567549447,0.628761372,0.611869031,0.632071937,0.075124476
2022-6-20,0.609788803,0.698390483,0.675306958,0.679280629,0.117961782
2022-6-21,0.666778411,0.656752974,0.671555252,0.700262271,0.074089233
2022-6-22,0.63526651,0.636109167,0.640859482,0.68977145,0.029501807
2022-6-23,0.608112638,0.629461162,0.616302865,0.640314725,0.09254535
2022-6-24,0.618840094,0.631560532,0.645293315,0.653053578,0.089890265
2022-6-27,0.60040228,0.66480056,0.6473397,0.672161858,0.065590899
2022-6-28,0.636607442,0.66340098,0.643929059,0.700262271,0.024683088
2022-6-29,0.630238015,0.630160952,0.669508868,0.685275384,0.052687868
2022-6-30,0.609118337,0.731980406,0.715552524,0.680029974,0.131973018
